mean,m_sd,no_lost_events,l_sd,no_events_expected,trace_size,t_sd,output,overflow,num_subbuf,total_buf_size,no_thread,sample_size,delay,no_repetitions
2698.94,2.78,212488,0,262152,1040,0,splice,discard,16,1024,4,131072,704,8
20938.88,9.64,48639,770,262152,4418,16,splice,discard,16,1024,4,131072,7548,8
200763.75,18.47,0,0,262152,5424,0,splice,discard,16,1024,4,131072,75989,8
2668.56,7.23,237712,0,262152,528,0,splice,discard,32,512,4,131072,704,8
21067.00,12.58,99781,2333,262152,3420,49,splice,discard,32,512,4,131072,7548,8
201101.25,33.14,0,0,262152,5520,0,splice,discard,32,512,4,131072,75989,8
2695.20,5.72,212744,0,262152,1040,0,splice,discard,32,1024,4,131072,704,8
21077.75,9.35,22453,1875,262152,4989,39,splice,discard,32,1024,4,131072,7548,8
200876.25,40.69,0,0,262152,5456,0,splice,discard,32,1024,4,131072,75989,8
2694.55,4.04,213264,0,262152,1040,0,splice,discard,64,1024,4,131072,704,8
21359.62,18.20,1479,3443,262152,5488,75,splice,discard,64,1024,4,131072,7548,8
201083.75,32.92,0,0,262152,5520,0,splice,discard,64,1024,4,131072,75989,8
